"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1907986480804291030","Fri Apr 04 02:40:00 +0000 2025","1","Pemerintah Diminta Siapkan Strategi Hadapi Kebijakan Tarif Impor 32 Persen Trump https://t.co/oNNkSQ5YDy","1907986480804291030","","","in","Indonesia","0","0","0","https://x.com/KompasTV/status/1907986480804291030","71436318","KompasTV"
"1907941082303967655","Thu Apr 03 23:39:36 +0000 2025","0","7 Fakta Terbaru Tarif Impor 32 Persen Trump untuk Indonesia dari Penyebab hingga Produk Terdampak https://t.co/WSBwcvlVa2","1907941082303967655","","","in","iNews Tower","0","0","0","https://x.com/officialinews_/status/1907941082303967655","132078023","officialinews_"
"1907938677621403846","Thu Apr 03 23:30:03 +0000 2025","402","Dampak Panjang Kebijakan Trump Presiden Amerika Serikat Donald Trump mengumumkan tarif impor resiprokal untuk Indonesia sebesar 32 persen pada 2 April 2025 waktu setempat. Tarif tersebut bakal menekan ekspor Indonesia ke Amerika. Padahal Negeri Abang Sam merupakan negara tujuan https://t.co/NvMYzunwoB","1907938677621403846","https://pbs.twimg.com/media/GnpcHQkaMAAc_41.jpg","","in","Indonesia","8","39","115","https://x.com/tempodotco/status/1907938677621403846","18129942","tempodotco"
"1907938156474695899","Thu Apr 03 23:27:58 +0000 2025","0","Indonesia Terkena Tarif 32 Persen Donald Trump Bapans Dorong Peningkatan Produksi Pangan Dalam Negeri https://t.co/LzXkkxwT6W https://t.co/eeuOc3Dzj2","1907938156474695899","https://pbs.twimg.com/media/GnpbpIeWkAAasGE.jpg","","in","Yogyakarta, Indonesia","0","0","0","https://x.com/Harian_Jogja/status/1907938156474695899","118371948","Harian_Jogja"
"1907933413170098648","Thu Apr 03 23:09:08 +0000 2025","0","Perang Dagang Trump: Indonesia Kena Tarif Tambahan 32 Persen https://t.co/3nbDRm8r9h https://t.co/PW5vIO0v6H","1907933413170098648","https://pbs.twimg.com/media/GnpXU_VaIAAPNGL.jpg","","in","DKI Jakarta, Indonesia","0","0","0","https://x.com/Kabarfaktualcom/status/1907933413170098648","1766875955199651840","Kabarfaktualcom"
"1907930025560780867","Thu Apr 03 22:55:40 +0000 2025","0","Alasan Indonesia Kena Tarif 32 Persen dari Perang Dagang Trump https://t.co/Leics0kALr","1907930025560780867","","","in","","0","0","0","https://x.com/asmawan_ed72119/status/1907930025560780867","1837316949380050944","asmawan_ed72119"
"1907923896730530055","Thu Apr 03 22:31:20 +0000 2025","0","Selain pemberlakuan tarif dasar sebesar 10 persen pada hampir semua barang impor yang masuk ke AS Trump juga memberlakukan Tarif Timbal Balik terhadap sejumlah negara termasuk Indonesia sebesar 32 persen. https://t.co/xzfTvkTNvZ","1907923901889536486","","bugiswarta","in","Bone, Sulawesi Selatan","0","1","0","https://x.com/bugiswarta/status/1907923901889536486","3305634234","bugiswarta"
"1907917495849107695","Thu Apr 03 22:05:53 +0000 2025","0","Donald Trump Kenakan Tarif Tambahan 32 Persen Jadi Ancaman Serius Sektor Perdagangan Indonesia https://t.co/ZeuMO9SGKc https://t.co/RK6B8F7y0b","1907917495849107695","https://pbs.twimg.com/media/GnpI2hWXsAAMZ6G.jpg","","in","Yogyakarta, Indonesia","0","0","0","https://x.com/Harian_Jogja/status/1907917495849107695","118371948","Harian_Jogja"
"1907841166399385701","Thu Apr 03 17:02:34 +0000 2025","0","Ini Alasan Trump Kenakan Tarif Impor 32 Persen ke Indonesia https://t.co/dMn48jvdp5","1907841166399385701","","","in","Batam, Indonesia","0","0","0","https://x.com/batamtoday/status/1907841166399385701","224204467","batamtoday"
"1907839669968237038","Thu Apr 03 16:56:37 +0000 2025","0","Indonesia Kena Tarif 32 Persen dari Perang Dagang Trump https://t.co/NvxlhUP2Od","1907839669968237038","","","in","Batam, Indonesia","0","0","0","https://x.com/batamtoday/status/1907839669968237038","224204467","batamtoday"
"1907833240519631006","Thu Apr 03 16:31:05 +0000 2025","0","Alasan Trump Berlakukan Tarif 32 Persen ke RI: TKDN hingga Impor Etanol Tinggi - https://t.co/6z4vMisNAq Sumber: Kumparan https://t.co/bWnbEAVtML Dibagikan melalui Aplikasi Google","1907833240519631006","","","in","Surakarta, Jawa Tengah","0","0","0","https://x.com/AlbertSolo2/status/1907833240519631006","980097559736721408","AlbertSolo2"
